,iris,diaphragm,tutoring,grades
0,0.217808722722,0.363926893406,0.270671639511,0.265499958373
1,0.216121136777,0.370587377681,0.257534735489,0.266370511791
2,0.246195740183,0.340228520712,0.256798250291,0.26944539653
3,0.226624857881,0.333490685242,0.250635924477,0.273767083359
4,0.233401135464,0.377693963407,0.249647010587,0.296558714794
5,0.214236014612,0.349607795716,0.293282603897,0.260930186349
6,0.239786443131,0.353195248912,0.263483046039,0.287565139359
7,0.219200658644,0.36965709857,0.283606142148,0.246367263001
8,0.250015419119,0.366172903957,0.278251167771,0.29738619667
9,0.249728270706,0.361663489856,0.257475360891,0.273689016754
10,0.234787998491,0.366966958598,0.256960130398,0.282116209104
11,0.226497177956,0.339240128394,0.28437462413,0.293785647456
12,0.255883152981,0.360378796031,0.248244316505,0.242825700941
13,0.237644524955,0.379788767233,0.254951701805,0.251843471575
14,0.228018970703,0.331310615317,0.265378625515,0.289452878119
15,0.225340026312,0.336507264103,0.250842600673,0.281886246074
16,0.206223337615,0.39428172862,0.262053058063,0.294865328811
17,0.232606470141,0.346129102245,0.250797541871,0.254690674236
18,0.210446593137,0.355074971559,0.241252852241,0.248269977064
19,0.220726201284,0.338766879778,0.25021952706,0.267182191877
20,0.229483858313,0.343945661352,0.262125643695,0.307713537993
21,0.224701063401,0.345752334514,0.270063361696,0.301096727768
22,0.230486376179,0.35827860438,0.254482759948,0.275795877798
23,0.22539053108,0.326883044146,0.276561868267,0.251466886697
24,0.223807801627,0.339933027479,0.271019065119,0.276921745701
25,0.206544562047,0.339359030395,0.250599909431,0.282243350818
26,0.231326350336,0.348105238127,0.247164103471,0.317341624264
27,0.235933816235,0.368950911007,0.268596695813,0.285919278873
28,0.17896047795,0.338884481894,0.272063595971,0.297811937372
29,0.224268792076,0.364033837081,0.265223210893,0.31160082227
30,0.245053496233,0.355006528334,0.25898872916,0.280321539866
31,0.21460024315,0.371097020744,0.254011456303,0.27692397992
32,0.233308169303,0.332863934939,0.272102830817,0.271800212157
33,0.219544803487,0.355880327891,0.26050122559,0.27665812819
34,0.242730291623,0.346639484936,0.256456358666,0.28446003891
35,0.244188964106,0.401919381176,0.273954674267,0.310310532692
36,0.237153851312,0.360824310069,0.247887669952,0.263591709109
37,0.239761575584,0.359356303535,0.272185782678,0.256966016679
38,0.246156185582,0.385032856862,0.263201505277,0.255652123039
39,0.238889212167,0.352771317681,0.292388678375,0.302704588462
40,0.242515566043,0.374283647358,0.245862854253,0.271871437372
41,0.229768256344,0.341236341102,0.314357092833,0.290012967028
42,0.209392200641,0.332701196523,0.249073071227,0.29458922497
43,0.227823269458,0.350047213964,0.241527323014,0.254066995708
44,0.225274890404,0.386392113048,0.291109834188,0.271420657498
45,0.243004953312,0.329673569547,0.266858664794,0.284155868435
46,0.210285268776,0.330034230928,0.263131673837,0.258502342782
47,0.219869138622,0.337611844528,0.248848471265,0.272020379781
48,0.207363940642,0.329878064661,0.292568901987,0.291889534248
